district,total_schools,cep_schools,cep_percentage,cep_display
1,16,9,56.25,9/16 CEP schools
10,8,6,75.0,6/8 CEP schools
11,10,3,30.0,3/10 CEP schools
12,2,1,50.0,1/2 CEP schools
13,11,4,36.36363636363637,4/11 CEP schools
14,13,6,46.15384615384615,6/13 CEP schools
15,16,3,18.75,3/16 CEP schools
16,13,1,7.6923076923076925,1/13 CEP schools
17,12,3,25.0,3/12 CEP schools
18,5,1,20.0,1/5 CEP schools
19,6,1,16.666666666666664,1/6 CEP schools
2,11,8,72.72727272727273,8/11 CEP schools
20,9,0,0.0,0/9 CEP schools
21,9,1,11.11111111111111,1/9 CEP schools
22,11,10,90.9090909090909,10/11 CEP schools
23,18,4,22.22222222222222,4/18 CEP schools
24,13,2,15.384615384615385,2/13 CEP schools
25,13,3,23.076923076923077,3/13 CEP schools
3,18,10,55.55555555555556,10/18 CEP schools
4,11,9,81.81818181818183,9/11 CEP schools
5,9,2,22.22222222222222,2/9 CEP schools
6,10,0,0.0,0/10 CEP schools
7,15,7,46.666666666666664,7/15 CEP schools
8,20,3,15.0,3/20 CEP schools
9,13,1,7.6923076923076925,1/13 CEP schools
