NAME,state,district,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
State House District 01; Hawaii; Hawaii,15,1,1501,13035.2,2042.3,0.156679,2356.31,4812392,942.53,1924957,1463.4,0.112265,1906.66,2790198,25246
State House District 02; Hawaii; Hawaii,15,2,1502,12932.9,2087.9,0.161439,2393.26,4996834,957.31,1998734,1514.5,0.117106,1886.79,2857575,25215
State House District 03; Hawaii; Hawaii,15,3,1503,10289.5,2083.1,0.202445,2426.99,5055565,970.8,2022226,1440.4,0.13999,1887.98,2719503,25170
State House District 04; Hawaii; Hawaii,15,4,1504,9323.8,2239,0.240138,2469.73,5529741,987.89,2211896,1525.8,0.163642,1907.45,2910333,25080
State House District 05; Hawaii; Hawaii,15,5,1505,11876.7,1861.9,0.156772,2291.93,4267454,916.77,1706981,1263.3,0.106368,1940,2450818,25515
State House District 06; Hawaii; Hawaii,15,6,1506,11077.9,1654.5,0.14935,2330.57,3855905,932.23,1542362,1208.8,0.109117,2020.21,2442013,24957
State House District 07; Hawaii; Hawaii,15,7,1507,9975,1391.7,0.139518,2288.96,3185508,915.58,1274203,1005.5,0.100805,2059.71,2071096,24321
State House District 08; Hawaii; Hawaii,15,8,1508,12648.8,1494.1,0.11812,2293.18,3426180,917.27,1370472,1110.9,0.08783,1997.67,2219291,25125
State House District 09; Hawaii; Hawaii,15,9,1509,13305.4,1801.4,0.135391,2231.49,4019882,892.6,1607953,1353.5,0.101722,1925.35,2605869,28196
State House District 10; Hawaii; Hawaii,15,10,1510,13629.8,1666.5,0.122267,2246.85,3744331,898.74,1497733,1301.5,0.095492,1950.08,2538110,26997
State House District 11; Hawaii; Hawaii,15,11,1511,13482.8,1540.3,0.114243,1920.11,2957590,768.04,1183036,940.2,0.069734,1892.55,1779397,27617
State House District 12; Hawaii; Hawaii,15,12,1512,12433.5,1525,0.122656,1912.37,2916453,764.95,1166581,1013.3,0.081497,1907.65,1933008,27202
State House District 13; Hawaii; Hawaii,15,13,1513,12733.3,2123.6,0.166775,2080.6,4418366,832.24,1767346,1360,0.106805,1898.41,2581789,27492
State House District 14; Hawaii; Hawaii,15,14,1514,12716,1416.9,0.111426,1971.42,2793281,788.57,1117312,1040.8,0.081851,1898.24,1975722,27332
State House District 15; Hawaii; Hawaii,15,15,1515,11563.6,1513.1,0.130851,2040.85,3088041,816.34,1235216,997.6,0.086273,1887.46,1882985,24299
State House District 16; Hawaii; Hawaii,15,16,1516,12622.7,1624.3,0.128681,2103.07,3416020,841.23,1366408,1134.2,0.089851,1881.87,2134345,24454
