NAME,state,district,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
State Senate District 01; Hawaii; Hawaii,15,1,1501,25647.4,4196.5,0.163625,2405.9,10096465,962.36,4038586,3047.3,0.118816,1886.42,5748512,50485
State Senate District 02; Hawaii; Hawaii,15,2,1502,18093.2,4166.4,0.230276,2452.04,10216224,980.82,4086490,2822.2,0.155981,1900.51,5363601,50344
State Senate District 03; Hawaii; Hawaii,15,3,1503,23283.1,3393.7,0.145757,2290.03,7771627,916.01,3108651,2411,0.103551,2007.09,4839055,49943
State Senate District 04; Hawaii; Hawaii,15,4,1504,24136.2,3097.8,0.128348,2274.26,7045262,909.7,2818105,2252.2,0.093312,2002.34,4509659,49857
State Senate District 05; Hawaii; Hawaii,15,5,1505,27022,3464.9,0.128224,2239.47,7759457,895.79,3103783,2656.8,0.098319,1938.46,5150055,55218
State Senate District 06; Hawaii; Hawaii,15,6,1506,26112,2960.3,0.113368,1944.3,5755627,777.72,2302251,1979.2,0.075798,1894.18,3749042,54924
State Senate District 07; Hawaii; Hawaii,15,7,1507,25166.8,3648.6,0.144979,2010.29,7334819,804.11,2933927,2373.3,0.094302,1902.35,4514797,54694
State Senate District 08; Hawaii; Hawaii,15,8,1508,37151.8,4738.4,0.127541,2114.1,10017429,845.64,4006971,3251.8,0.087528,1892.75,6154875,73298
State Senate District 09; Hawaii; Hawaii,15,9,1509,26523.1,1732.7,0.065328,1671.84,2896785,668.73,1158714,995.7,0.037541,1797.9,1790154,53830
State Senate District 10; Hawaii; Hawaii,15,10,1510,27167.2,2810.5,0.103452,1956.45,5498632,782.58,2199453,1585.9,0.058374,1793.28,2843885,54930
State Senate District 11; Hawaii; Hawaii,15,11,1511,27380.1,2512.1,0.091749,1768.06,4441555,707.22,1776622,1293.9,0.047257,1791.26,2317736,55147
State Senate District 12; Hawaii; Hawaii,15,12,1512,29591.2,2862.3,0.096727,1670.92,4782608,668.37,1913043,1363.6,0.04608,1725.07,2352224,56390
State Senate District 13; Hawaii; Hawaii,15,13,1513,27056.7,3865.8,0.142878,2188.68,8460985,875.47,3384394,2228.4,0.082361,1864.56,4155034,55447
State Senate District 14; Hawaii; Hawaii,15,14,1514,25432.5,4561.8,0.179368,2481.55,11320273,992.62,4528109,3230.6,0.127028,1864.8,6024491,58220
State Senate District 15; Hawaii; Hawaii,15,15,1515,35805.7,4655.9,0.130032,2198.23,10234660,879.29,4093864,4037.8,0.112771,2012.77,8127226,81543
State Senate District 16; Hawaii; Hawaii,15,16,1516,27730.3,2475.4,0.089268,2165.04,5359407,866.02,2143763,1815.4,0.065467,1892.59,3435845,57229
State Senate District 17; Hawaii; Hawaii,15,17,1517,26115.2,2904.9,0.111232,2284.35,6635711,913.74,2654284,2593.7,0.099319,2081.72,5399428,57701
State Senate District 18; Hawaii; Hawaii,15,18,1518,25493,2794,0.109597,2229.01,6227763,891.6,2491105,2133.6,0.083692,1886.24,4024416,54571
State Senate District 19; Hawaii; Hawaii,15,19,1519,26054.7,3126.1,0.119982,2278.39,7122462,911.35,2848985,2406.3,0.092354,1894.51,4558668,56059
State Senate District 20; Hawaii; Hawaii,15,20,1520,27949.8,3402.9,0.121751,2336.4,7950586,934.56,3180234,3005.3,0.107524,1973.03,5929484,61401
State Senate District 21; Hawaii; Hawaii,15,21,1521,26096.9,2912.8,0.111614,2277.75,6634599,911.1,2653840,2474.7,0.094826,1988.8,4921636,59486
State Senate District 22; Hawaii; Hawaii,15,22,1522,19695,4471.3,0.227026,2594.63,11601304,1037.85,4640521,3621.3,0.183871,2042.45,7396396,53267
State Senate District 23; Hawaii; Hawaii,15,23,1523,34158,4856.1,0.142166,2144.13,10412142,857.65,4164857,3694.3,0.108154,2088.33,7714949,78951
State Senate District 24; Hawaii; Hawaii,15,24,1524,30763.5,2502.2,0.081337,2029.17,5077411,811.67,2030964,1957.9,0.063644,1950.69,3819258,66736
State Senate District 25; Hawaii; Hawaii,15,25,1525,25209.6,1977.5,0.078442,2041.98,4038026,816.79,1615210,1538.4,0.061022,1915.4,2946563,55600
