"zcta","sldl22","ZIPName","pop20","afact"
"ZIP census tabulation area","State legislative district, lower (2022)","ZIP Code name","Total population (2020 Census)","zcta-to-sldl22 allocation factor"
" ","005","[not in a ZCTA]",32,0.2092 
" ","017","[not in a ZCTA]",121,0.7908 
"96701","031","Aiea, HI",3372,0.0787 
"96701","032","Aiea, HI",11597,0.2707 
"96701","033","Aiea, HI",27693,0.6465 
"96701","034","Aiea, HI",171,0.004 
"96703","015","Anahola, HI (PO boxes)",2638,1 
"96704","005","Captain Cook, HI",4409,0.6467 
"96704","006","Captain Cook, HI",2409,0.3533 
"96705","017","Eleele, HI (PO boxes)",2536,1 
"96706","039","Ewa Beach, HI",5940,0.074 
"96706","040","Ewa Beach, HI",29919,0.3726 
"96706","041","Ewa Beach, HI",28888,0.3598 
"96706","042","Ewa Beach, HI",15552,0.1937 
"96707","039","Kapolei, HI",31,0.0007 
"96707","041","Kapolei, HI",2649,0.0561 
"96707","042","Kapolei, HI",12485,0.2646 
"96707","043","Kapolei, HI",28804,0.6105 
"96707","044","Kapolei, HI",3212,0.0681 
"96708","013","Haiku, HI",10993,1 
"96710","001","Hakalau, HI (PO boxes)",650,1 
"96712","047","Haleiwa, HI",8259,1 
"96713","013","Hana, HI",2264,1 
"96714","015","Hanalei, HI (PO boxes)",1557,1 
"96716","017","Hanapepe, HI (PO boxes)",2784,1 
"96717","047","Hauula, HI",5379,0.9886 
"96717","048","Hauula, HI",62,0.0114 
"96719","008","Hawi, HI (PO boxes)",2020,1 
"96720","001","Hilo, HI",11541,0.2476 
"96720","002","Hilo, HI",25215,0.5409 
"96720","003","Hilo, HI",9676,0.2076 
"96720","005","Hilo, HI",183,0.0039 
"96722","015","Princeville, HI",2328,1 
"96725","006","Holualoa, HI",2917,0.7125 
"96725","007","Holualoa, HI",1177,0.2875 
"96726","005","Honaunau, HI (PO boxes)",136,1 
"96727","001","Honokaa, HI",4860,0.9739 
"96727","008","Honokaa, HI",130,0.0261 
"96728","001","Honomu, HI (PO boxes)",606,1 
"96729","013","Hoolehua, HI (PO boxes)",1358,1 
"96730","048","Kaaawa, HI",1584,1 
"96731","047","Kahuku, HI",3309,1 
"96732","009","Kahului, HI",26813,0.9748 
"96732","010","Kahului, HI",587,0.0213 
"96732","013","Kahului, HI",107,0.0039 
"96734","049","Kailua, HI",2042,0.0409 
"96734","050","Kailua, HI",31168,0.6243 
"96734","051","Kailua, HI",16712,0.3348 
"96737","005","Ocean View, HI (PO boxes)",4806,1 
"96738","007","Waikoloa, HI",625,0.0839 
"96738","008","Waikoloa, HI",6822,0.9161 
"96740","006","Kailua Kona, HI",16489,0.4313 
"96740","007","Kailua Kona, HI",21745,0.5687 
"96741","017","Kalaheo, HI",6424,1 
"96742","013","Kalaupapa, HI (PO boxes)",82,1 
"96743","001","Kamuela, HI",25,0.0019 
"96743","007","Kamuela, HI",774,0.058 
"96743","008","Kamuela, HI",12540,0.9401 
"96744","048","Kaneohe, HI",25547,0.4424 
"96744","049","Kaneohe, HI",25286,0.4379 
"96744","050","Kaneohe, HI",6913,0.1197 
"96746","015","Kapaa, HI",13246,0.6626 
"96746","016","Kapaa, HI",6745,0.3374 
"96747","017","Kaumakani, HI (PO boxes)",666,1 
"96748","013","Kaunakakai, HI",4441,1 
"96749","003","Keaau, HI",5642,0.2752 
"96749","004","Keaau, HI",14586,0.7114 
